Index,Qin,Qout,T,Tamb
45,16601.263048046443,9983.14528523242,319.82,288
46,14818.046997109117,10515.876221289058,320.0,288
47,10755.312312523403,13074.316001741829,320.07,288
48,11131.917304856039,14149.881332382593,320.28,288
49,13455.301980877255,10853.501778826349,320.06,288
50,13887.879929396371,12274.771127326929,319.92,288
51,14045.546177509028,11143.155509591665,319.93,288
52,14751.266892802716,10773.50517732762,319.85,288
53,14497.86985326402,9148.52499581789,319.96,288
54,13397.509678356255,9595.306068126783,320.13,288
55,12701.655643815599,12115.884688815158,320.07,288
56,12171.865587537011,11870.4743592921,320.09,288
57,12286.693872443107,12546.681358685351,320.0,288
58,14001.481746061654,12761.598121573259,319.92,288
59,14741.763741564171,12433.616284597383,320.21,288
60,15750.059815358609,10113.008225967482,320.05,288
61,16058.720654712763,10994.872164332632,320.2,288
62,17291.81178538603,11513.614232472319,319.91,288
63,19425.826132751274,9512.062212100556,320.03,288
64,18740.46872954529,9708.408399597409,320.46,288
65,22871.613105024728,10007.50446013601,320.49,288
66,30162.92152422908,9592.297269304778,320.65,288
67,31632.313666579506,10227.54629881563,320.85,288
68,20675.633728959387,11108.239953471299,321.28,288
69,19268.73500204407,11785.237347109167,321.31,288
70,17523.38236916142,13334.03194308282,321.2,288
71,14732.269770635621,13993.197787908877,321.47,288
72,14694.385453891093,12296.36589849268,321.26,288
73,15823.744205162098,13392.382501800916,321.19,288
74,16749.81947160696,11953.156441700288,321.38,288
75,16912.0443795562,12493.320459921491,321.29,288
76,16784.3848680329,11332.558071031965,321.58,288
77,16912.0443795562,12122.709432815163,321.25,288
78,16958.827329217027,12290.668171183357,321.6,288
79,15760.554607548145,11317.678331775798,321.42,288
80,15021.13093163512,12436.837345406999,321.53,288
81,14894.923895339718,13553.399961521682,321.58,288
82,15562.932052641578,13780.398961820702,321.55,288
83,16112.854176602967,10812.128175210368,321.79,288
84,17112.22001180969,11695.723038715632,321.49,288
85,17315.970792968667,11824.86126096542,321.65,288
86,18904.918124194624,11884.926316683712,321.85,288
87,24556.28756193866,10236.525090177725,321.58,288
88,19584.846185706294,10345.747841290156,321.88,288
89,19368.480551830984,14059.954570467473,322.13,288
90,18960.215844208327,13417.683526067323,322.18,288
91,19339.902937792558,13419.73453507366,322.81,288
92,17835.235698131954,14865.184916328804,322.15,288
93,16265.892638356205,15038.652014939364,322.4,288
94,14553.612973354271,15915.120164289463,322.19,288
95,13137.999897644671,18305.45793153795,322.49,288
96,12107.980705669333,17182.40866194216,322.06,288
97,6774.099709420153,15923.622736099216,321.82,288
98,7224.395182134153,13891.552613279475,321.82,288
99,6894.019482637212,15399.779833118491,321.77,288
100,9522.88046655728,13122.786118155906,321.46,288
101,8815.321087544015,13848.822910768664,321.62,288
102,8013.6188108531505,13563.01562339374,321.34,288
103,8013.6188108531505,13244.334997691332,321.35,288
104,6765.232120481428,16768.164034835107,321.26,288
105,6955.177040621451,13202.85777985061,321.03,288
106,8191.650792844153,15198.103360317524,320.99,288
107,8557.577137960152,15177.516010202024,320.7,288
108,14223.900533312195,14879.541894938618,320.82,288
109,14609.678204174641,14819.695458223157,320.18,288
110,15593.887653254573,14415.632950137107,320.59,288
111,16499.57101744425,14802.728984848069,320.63,288
112,15792.10199837006,13882.542188436992,320.7,288
113,16276.907293627806,16372.585388170895,320.54,288
114,16465.881243654167,15727.14258189061,320.7,288
115,16533.364292807397,16100.778992716077,320.64,288
116,16298.970194916583,17594.719165471346,320.35,288
117,16047.926690537934,16948.654164482963,320.73,288
118,15834.31274332483,18447.998450352672,320.54,288
119,14036.716665750118,22462.854338458146,320.46,288
120,11302.132458990278,19676.071949259975,320.36,288
121,8540.797578980499,17668.687279916434,320.24,288
122,8306.954737432821,17490.2002169883,320.04,288
123,8363.491942474808,16699.81598036435,320.01,288
124,8629.444828584968,17100.860295612343,319.65,288
125,9357.395278092989,16910.72143449781,319.52,288
126,11463.244218543572,15893.39129016988,319.48,288
127,11974.753612591769,14662.25874884057,319.37,288
128,9522.88046655728,16603.433578721037,319.31,288
129,8846.147714511977,15797.273909446321,319.42,288
130,10105.597371742788,14516.362107036768,319.16,288
131,12150.514562988494,15117.584983747527,319.13,288
132,14010.278027764674,14245.19419452722,318.82,288
133,15593.887653254573,15166.894428802085,318.89,288
134,16465.881243654167,13833.198745876602,319.1,288
135,17772.202576554708,13811.687903127844,318.91,288
136,17315.970792968667,12230.375078755369,319.05,288
137,17784.782439956038,14079.905758515346,319.18,288
138,18026.360274366543,13544.758877534041,318.98,288
139,18246.70561342253,12064.30780106595,319.05,288
140,18754.090730716234,11622.399543570944,319.3,288
141,18781.37932766179,12215.230893014425,319.16,288
142,18259.79272479207,13935.724550416753,319.23,288
143,17975.094433914113,13841.729415370988,319.43,288
144,17847.882558715424,14030.35481969475,319.28,288
145,17498.78815132246,14922.387553263652,319.37,288
146,16853.83742090152,13623.992929446198,319.39,288
147,16819.057370142214,13217.69236836809,319.3,288
148,16842.232093360624,13048.417426507463,319.28,288
149,17076.63751577914,11960.374588601248,319.43,288
