Index,Heat_demand
1,19871.15534124506
2,18790.39300995522
3,18951.95430905785
4,20442.18262342412
5,19356.189396406506
6,20931.920013045343
7,18539.998461678126
8,17659.731372164755
9,18881.18706705933
10,16274.85357759722
11,16513.6628089708
12,16573.79855241891
13,16001.303070742164
14,17444.583384239526
15,16390.62578834989
16,20192.827777300557
17,19141.29178555173
18,18585.08293921201
19,17670.91192331926
20,16941.454119687132
21,17838.144542717557
22,17365.157776012235
23,16644.44050913331
24,18178.369666089297
25,15994.045401744206
26,16923.334935535946
27,16095.79611214971
28,16654.885296373686
29,16238.992826907637
30,14722.50602870443
31,15224.688834580194
32,13220.475343141356
33,13678.333876840852
34,13047.017633139036
35,15404.510405951567
36,12113.163645082388
37,14297.614752427336
38,16020.53142744762
39,15708.957097637736
40,18841.98888015475
41,16236.61360001174
42,16709.519069205395
43,13899.130039411679
44,17993.18233032295
45,16000.352705054913
46,13468.736108330995
47,18641.755275754032
48,16019.131273831335
49,16536.911765886238
50,21384.741657580456
51,18091.561827267582
52,17885.434285538646
53,18112.58872559304
54,19259.598344168786
55,16088.54022274006
56,16639.209563326007
57,18470.921849581355
58,15231.39292405381
59,16279.519828925328
60,16920.42364512424
61,17426.817808590895
62,18748.600014895426
63,20726.27188455708
64,19543.64866979298
65,21319.44510944152
66,22136.91842643473
67,21377.768832305075
68,19981.85811594994
69,15553.055201102648
70,18984.281838766048
71,17676.247217772332
72,18067.914971048558
73,15990.184315996506
74,18454.056158046835
75,15274.608499075039
76,15533.232058280415
77,14576.094401215603
78,15694.63697490456
79,16494.361208800125
80,15726.038811772876
81,15874.436383564152
82,16208.064021519956
83,15878.815398290517
84,14692.577915969387
85,15972.127525923755
86,18284.831944882342
87,20586.060066175658
88,19225.635417330763
89,20454.458181036942
90,21670.756340272557
91,20141.038052232543
92,18674.6304346783
93,17425.192680724598
94,17872.110151578116
95,19574.038774756078
96,15800.87124454329
97,19169.172132124928
98,21310.55652265257
99,17563.405569751572
100,20581.467540646634
101,17563.013666324445
